sexo,idade,salario,credito,tempo,regiao,estadocivil,ESTAD_CIVIL,educacao,nprodutos,pagamento,PAGAM,maxatraso,ORDEM,cliente
0,29,31892,658.2,22,4,1,1,1,0,1,1,0,1530,0
0,62,76558,769.7,100,5,1,1,1,0,1,1,0,792,0
0,38,63978,530.2,32,3,2,2,1,0,1,1,0,652,0
0,29,35303,283.5,15,4,2,2,1,0,1,1,0,1001,0
0,33,64363,549,27,1,3,3,1,0,1,1,0,2117,0
0,35,52391,570.8,21,4,3,3,1,0,1,1,0,1667,0
0,44,55893,514.5,28,2,4,3,1,0,1,1,0,2276,0
0,45,59696,518.2,39,4,1,1,2,0,1,1,0,899,0
0,43,104035,409.1,31,3,2,2,2,0,1,1,0,2118,0
0,48,48994,438.7,17,4,2,2,2,0,1,1,0,790,0
0,23,37873,591.3,31,5,2,2,2,0,1,1,0,1017,0
0,30,63043,412.4,25,2,3,3,2,0,1,1,0,232,0
0,31,71137,517.8,20,4,3,3,2,0,1,1,0,696,0
0,35,78094,337.3,35,5,3,3,2,0,1,1,0,1844,0
0,27,42575,608.7,18,3,4,3,2,0,1,1,0,2374,0
0,33,70906,465.3,55,4,1,1,3,0,1,1,0,1920,0
0,38,61694,600.8,38,2,4,3,3,0,1,1,0,1691,0
0,31,60560,556.2,121,4,4,3,3,0,1,1,0,1958,0
0,23,41516,332.7,35,4,2,2,4,0,1,1,0,2351,0
0,32,50848,618.2,30,2,3,3,4,0,1,1,0,2077,0
0,19,30080,299.8,24,1,4,3,4,0,1,1,0,435,0
0,36,51324,715.8,38,2,4,3,4,0,1,1,0,1363,0
0,37,61417,540.5,27,4,2,2,5,0,1,1,0,2456,0
0,62,98594,694.1,76,4,3,3,5,0,1,1,0,2164,0
0,34,51875,399.5,49,4,3,3,5,0,1,1,0,2213,0
0,21,53340,392.7,27,4,4,3,5,0,1,1,0,654,0
0,42,48673,705.2,15,2,1,1,1,1,1,1,0,1087,0
0,27,55734,295.2,31,4,2,2,1,1,1,1,0,2194,0
0,27,45813,511.2,21,2,3,3,1,1,1,1,0,1624,0
0,23,77518,491.1,52,4,1,1,2,1,1,1,0,2475,0
0,42,61597,482.7,31,5,1,1,2,1,1,1,0,887,0
0,43,49360,600.9,21,2,2,2,2,1,1,1,0,1891,0
0,33,41854,357.2,33,4,2,2,2,1,1,1,0,253,0
0,25,54365,357.4,40,5,2,2,2,1,1,1,0,439,0
0,50,61958,672.3,40,2,1,1,3,1,1,1,0,1543,0
0,46,53846,674.8,43,4,1,1,3,1,1,1,0,2165,0
0,46,70284,711.4,27,4,1,1,3,1,1,1,0,366,0
0,40,64699,715,23,2,2,2,3,1,1,1,0,761,0
0,39,40524,648.9,33,2,3,3,3,1,1,1,0,1073,0
0,23,38863,426.8,21,4,3,3,3,1,1,1,0,2143,0
0,21,54358,225.8,19,2,5,5,3,1,1,1,0,2253,0
0,26,45531,344.8,42,1,3,3,5,1,1,1,0,1931,0
0,43,55101,388.9,52,1,1,1,1,2,1,1,0,2431,0
0,40,29101,708.8,31,1,2,2,1,2,1,1,0,1713,0
0,23,27635,588.2,32,2,3,3,1,2,1,1,0,622,0
0,41,54215,729.7,30,1,1,1,2,2,1,1,0,1823,0
0,25,56731,301.5,24,4,1,1,2,2,1,1,0,57,0
0,36,48350,399.1,28,4,2,2,2,2,1,1,0,1616,0
0,47,53957,674.6,63,4,1,1,3,2,1,1,0,1686,0
0,50,75989,601.6,61,4,1,1,3,2,1,1,0,2173,0
0,59,82157,618,38,1,1,1,5,2,1,1,0,1137,0
0,20,29300,387.9,45,2,2,2,2,3,1,1,0,269,0
0,33,46929,513.1,86,4,4,3,2,3,1,1,0,2192,0
0,41,49241,510.1,26,2,5,5,2,3,1,1,0,636,0
0,46,83103,762.8,28,3,2,2,5,3,1,1,0,2423,0
0,27,53235,490.2,76,1,1,1,1,0,2,2,0,1983,0
0,19,48885,452.9,24,2,1,1,1,0,2,2,0,361,0
0,26,47663,497.7,37,2,2,2,1,0,2,2,0,233,0
0,34,29639,705.3,94,4,2,2,1,0,2,2,0,2131,0
0,38,51799,377.2,78,4,2,2,1,0,2,2,0,15,0
0,34,47906,534,41,4,2,2,1,0,2,2,0,1394,0
0,31,48962,606.8,28,4,2,2,1,0,2,2,0,442,0
0,42,53563,414.7,25,1,3,3,1,0,2,2,0,1581,0
0,37,72474,513.8,27,4,3,3,1,0,2,2,0,1081,0
0,29,31090,420.2,21,2,4,3,1,0,2,2,0,595,0
0,66,86025,703.6,28,2,5,5,1,0,2,2,0,975,0
0,31,62545,628.1,67,4,5,5,1,0,2,2,0,1446,0
0,23,38651,461.6,80,4,1,1,2,0,2,2,0,2395,0
0,31,57604,523.3,48,4,1,1,2,0,2,2,0,909,0
