sexo,idade,salario,credito,tempo,regiao,estadocivil,ESTAD_CIVIL,educacao,nprodutos,pagamento,PAGAM,maxatraso,ORDEM,cliente
1,31,50323,325.1,21,2,1,1,1,0,1,1,0,838,0
1,33,57255,621.4,27,2,1,1,1,0,1,1,0,3362,0
0,33,71963,563.7,21,4,1,1,1,0,1,1,0,3323,1
0,29,31892,658.2,22,4,1,1,1,0,1,1,0,4173,0
0,62,76558,769.7,100,5,1,1,1,0,1,1,0,6904,0
1,37,69989,584.1,40,2,2,2,1,0,1,1,0,1972,0
0,38,63978,530.2,32,3,2,2,1,0,1,1,0,5854,0
1,50,116345,696.8,32,3,2,2,1,0,1,1,0,3378,0
0,29,35303,283.5,15,4,2,2,1,0,1,1,0,1244,0
1,42,111898,376.2,17,4,2,2,1,0,1,1,0,3034,0
1,38,54909,519.4,18,4,2,2,1,0,1,1,0,6938,0
1,26,71505,281.2,20,4,2,2,1,0,1,1,0,1014,0
1,31,64735,527.9,20,4,2,2,1,0,1,1,0,6069,1
1,27,62107,570.4,32,4,2,2,1,0,1,1,0,2098,0
1,25,60914,543.4,38,4,2,2,1,0,1,1,0,2565,0
1,29,90936,573.3,38,4,2,2,1,0,1,1,0,1228,0
1,37,74618,594.1,55,4,2,2,1,0,1,1,0,5944,0
1,33,95146,466.4,25,5,2,2,1,0,1,1,0,5497,0
0,33,64363,549,27,1,3,3,1,0,1,1,0,7243,0
0,49,72250,733.7,33,1,3,3,1,0,1,1,0,5133,0
1,40,49189,460.2,73,1,3,3,1,0,1,1,0,2620,0
1,30,76204,507,19,2,3,3,1,0,1,1,0,4370,0
1,43,70936,478.5,22,2,3,3,1,0,1,1,0,5651,0
1,36,41567,476.6,36,2,3,3,1,0,1,1,0,3101,0
0,35,31625,349,46,2,3,3,1,0,1,1,0,6524,0
0,35,52391,570.8,21,4,3,3,1,0,1,1,0,6550,0
1,44,72329,745.9,22,4,3,3,1,0,1,1,0,7346,0
0,47,49125,401.2,36,5,3,3,1,0,1,1,0,5638,1
0,44,55893,514.5,28,2,4,3,1,0,1,1,0,4095,0
1,57,45329,801.4,15,4,4,3,1,0,1,1,0,3813,0
1,44,86068,656.5,63,2,1,1,2,0,1,1,0,2945,1
1,29,57694,526.5,57,3,1,1,2,0,1,1,0,5561,0
0,45,59696,518.2,39,4,1,1,2,0,1,1,0,1877,0
1,34,51018,621.5,19,1,2,2,2,0,1,1,0,4926,0
1,40,84251,666.6,41,2,2,2,2,0,1,1,0,3704,0
0,43,104035,409.1,31,3,2,2,2,0,1,1,0,835,0
0,48,48994,438.7,17,4,2,2,2,0,1,1,0,6676,0
0,39,63967,627,24,4,2,2,2,0,1,1,0,6838,0
0,35,85939,301.5,34,4,2,2,2,0,1,1,0,3695,0
1,39,70408,482.9,43,4,2,2,2,0,1,1,0,6641,0
1,60,88747,558.7,61,4,2,2,2,0,1,1,0,5277,0
0,23,37873,591.3,31,5,2,2,2,0,1,1,0,889,0
0,30,63043,412.4,25,2,3,3,2,0,1,1,0,6230,0
0,31,71137,517.8,20,4,3,3,2,0,1,1,0,5056,0
1,54,61536,834.2,28,4,3,3,2,0,1,1,0,3356,0
1,30,72819,442.8,78,4,3,3,2,0,1,1,0,3772,0
0,35,78094,337.3,35,5,3,3,2,0,1,1,0,5312,0
0,27,42575,608.7,18,3,4,3,2,0,1,1,0,769,0
1,24,60997,600.9,26,4,4,3,2,0,1,1,0,765,0
1,42,68337,697.7,40,4,4,3,2,0,1,1,0,2665,0
1,47,78220,522.2,61,1,5,5,2,0,1,1,0,4077,0
1,40,44681,347.5,25,5,5,5,2,0,1,1,0,1605,0
1,46,57703,517.3,46,1,1,1,3,0,1,1,0,3009,0
0,44,86394,789.4,31,3,1,1,3,0,1,1,0,1903,0
0,30,33802,316.7,17,4,1,1,3,0,1,1,0,6946,0
0,49,57319,830.7,33,4,1,1,3,0,1,1,0,6228,0
0,33,70906,465.3,55,4,1,1,3,0,1,1,0,1583,0
